state,x,y
Andaman & Nicobar,240.0,-259.0
Andhra Pradesh,-100.0 ,-208.0
Arunachal Pradesh,245.0,110.0
Assam,187.0,75.0
Bihar,64.0,63.0
Chhattisgarh,-29.0,-49.0
Dadra & Nagar Haveli & Daman & Diu,-213.0,-78.0
Delhi,-121.0,132.0
Goa,-189.0,-196.0
Gujarat,-263.0,4.0
Haryana,-146.0,154.0
Himachal Pradesh,-121.0,221.0
Jammu & Kashmir,-178.0,281.0
Jharkhand,49.0,8.0
Karnataka,-175.0,-200.0
Kerala,-139.0,-304.0
Ladakh,-115.0,300.0
Lakshadweep,-233.0,-299.0
Madhya Pradesh,-115.0,-0.0
Maharashtra,-182.0,-84.0
Manipur,253.0,33.0
Meghalaya,182.0,55.0
Mizoram,234.0,-4.0
Nagaland,268.0,65.0
Odisha,24.0,-69.0
Puducherry,-61.0,-275.0
Punjab,-161.0,199.0
Rajasthan,-207.0,99.0
Sikkim,135.0,106.0
West Bengal,105.0,-8.0
Tamil Nadu,-112.0,-301.0
Telangana,-91.0,-128.0
Tripura,206.0,8.0
Uttar Pradesh,-45.0,97.0
Uttarakhand,-76.0,178.0